"PointID","x","y","Adjoint_Density","Adjoint_X-Momentum","Adjoint_Y-Momentum","Adjoint_Energy","Sensitivity_x","Sensitivity_y","Surface_Sensitivity"
0,1.500000000000000e+00,1.000000000000000e+00,-5.264657408548120e+00,1.513474823292072e-02,-4.006075432920967e-06,-9.308632253238990e-06,-3.496292264710231e-07,1.152597252050646e+00,0.000000000000000e+00,
1,1.479591836734694e+00,1.000000000000000e+00,-4.365842640461953e+00,1.253874552452474e-02,3.955942943780929e-06,-8.141586812869424e-06,3.259701694098365e-07,4.805726041395561e-03,0.000000000000000e+00,
2,1.459183673469388e+00,1.000000000000000e+00,-4.506035728658583e+00,1.295194240565848e-02,-1.352615915926337e-05,-8.327361946472797e-06,6.748362259138049e-08,-3.277220935506045e-03,0.000000000000000e+00,
3,1.438775510204082e+00,1.000000000000000e+00,-3.971270165554619e+00,1.142202109697830e-02,2.525179467269885e-06,-7.328002351763170e-06,3.927937709775420e-08,-6.976965444006908e-03,0.000000000000000e+00,
4,1.418367346938776e+00,1.000000000000000e+00,-4.044095479748541e+00,1.163721495514081e-02,-1.224739604270788e-06,-7.433580379846021e-06,2.128809297818977e-08,-1.131825535149137e-02,0.000000000000000e+00,
5,1.397959183673469e+00,1.000000000000000e+00,-3.622187083755113e+00,1.041897750782756e-02,1.668402190859251e-06,-6.664484625122923e-06,-1.609811727822617e-09,-6.212365855515033e-03,0.000000000000000e+00,
6,1.377551020408163e+00,1.000000000000000e+00,-3.672621591223281e+00,1.056554777550955e-02,2.728221073904010e-06,-6.733657967882527e-06,9.249718836571233e-09,1.951674793847937e-02,0.000000000000000e+00,
7,1.357142857142857e+00,1.000000000000000e+00,-3.669484245629310e+00,1.055822894045462e-02,1.977396828162276e-06,-6.741581233144184e-06,7.697365854517774e-09,5.723289198828230e-02,0.000000000000000e+00,
8,1.336734693877551e+00,1.000000000000000e+00,-3.688882745679130e+00,1.060787639284097e-02,4.839624517776103e-06,-6.770426664542389e-06,-9.728129526974730e-11,7.861379301911869e-02,0.000000000000000e+00,
9,1.316326530612245e+00,1.000000000000000e+00,-3.662622309408877e+00,1.052347143374122e-02,1.599676423059798e-05,-6.744654771511282e-06,1.842031327112508e-09,5.211370325738573e-02,0.000000000000000e+00,
10,1.295918367346939e+00,1.000000000000000e+00,-3.678509430234959e+00,1.056647802082073e-02,1.235943515395173e-05,-6.767598934661924e-06,4.706956259221268e-09,-3.415757127654245e-02,0.000000000000000e+00,
11,1.275510204081633e+00,1.000000000000000e+00,-3.688498658599994e+00,1.059481173120692e-02,2.095394789070600e-05,-6.789741624990484e-06,2.309185818255566e-09,-1.600635307355728e-01,0.000000000000000e+00,
12,1.255102040816326e+00,1.000000000000000e+00,-3.679984992599706e+00,1.058310968964389e-02,1.140068840440394e-05,-6.770065744795017e-06,6.170957668472088e-10,-2.807645972394240e-01,0.000000000000000e+00,
13,1.234693877551021e+00,1.000000000000000e+00,-3.683194703139552e+00,1.059355159156018e-02,1.530016221951415e-05,-6.783750146135541e-06,1.060474920117765e-09,-3.490403349334596e-01,0.000000000000000e+00,
14,1.214285714285714e+00,1.000000000000000e+00,-3.662964179003807e+00,1.055625365495706e-02,1.099371321763493e-05,-6.738389188648254e-06,1.227928779923976e-09,-3.386859070408685e-01,0.000000000000000e+00,
15,1.193877551020408e+00,1.000000000000000e+00,-3.665829309563484e+00,1.056896140670485e-02,4.908312935609716e-06,-6.743495908071160e-06,5.789342486309246e-10,-2.557040571598139e-01,0.000000000000000e+00,
16,1.173469387755102e+00,1.000000000000000e+00,-3.658204439821231e+00,1.055883463217166e-02,1.242413227030781e-05,-6.725866207224054e-06,3.945750670641957e-11,-1.326922020688635e-01,0.000000000000000e+00,
17,1.153061224489796e+00,1.000000000000000e+00,-3.671569956290262e+00,1.059322538644867e-02,-6.686332591823862e-06,-6.754022373607268e-06,-7.989048485257388e-11,-1.171102530715483e-02,0.000000000000000e+00,
18,1.132653061224490e+00,1.000000000000000e+00,-3.683564670341374e+00,1.062531792097547e-02,2.458167145062254e-06,-6.776437153179012e-06,-3.372597752286655e-11,7.403136687537534e-02,0.000000000000000e+00,
19,1.112244897959184e+00,1.000000000000000e+00,-3.697716469445929e+00,1.066234715631258e-02,-1.599949160111440e-06,-6.804692437812791e-06,-5.216913706584947e-12,1.109071898620083e-01,0.000000000000000e+00,
20,1.091836734693878e+00,1.000000000000000e+00,-3.715790475218755e+00,1.070737721750276e-02,-1.074683599739660e-06,-6.839584494932650e-06,-3.306358875923565e-12,1.049546283178367e-01,0.000000000000000e+00,
21,1.071428571428571e+00,1.000000000000000e+00,-3.724992209252394e+00,1.073319322101539e-02,-1.274643248077179e-06,-6.857873654141479e-06,-3.475181080403456e-12,7.404501155684778e-02,0.000000000000000e+00,
22,1.051020408163265e+00,1.000000000000000e+00,-3.738126745244622e+00,1.076759030122538e-02,-4.418833402887412e-06,-6.882491884425347e-06,-1.525645061672964e-12,3.771793031951492e-02,0.000000000000000e+00,
23,1.030612244897959e+00,1.000000000000000e+00,-3.745062194463217e+00,1.078855951970961e-02,-2.871694842702841e-06,-6.894399698035280e-06,-2.675227660925428e-13,9.648600494694324e-03,0.000000000000000e+00,
