r,Un
-0.4970760233918129, 0.2676923076923077
-0.48245614035087725, 0.3599999999999999
-0.4619883040935673, 0.4015384615384616
-0.4473684210526316, 0.4938461538461538
-0.42690058479532167, 0.5676923076923077
-0.40935672514619886, 0.6276923076923078
-0.37134502923976614, 0.6784615384615384
-0.32456140350877194, 0.6784615384615384
-0.28654970760233917, 0.6553846153846155
-0.24853801169590645, 0.6276923076923078
-0.20175438596491235, 0.6046153846153847
-0.17836257309941517, 0.6138461538461538
-0.1549707602339181, 0.6369230769230769
-0.11403508771929827, 0.6646153846153846
-0.07309941520467833, 0.7384615384615385
-0.05263157894736836, 0.7892307692307693
-0.029239766081871288, 0.8676923076923078
-0.011695906432748537, 0.9461538461538461
1.1102230246251565e-16, 1.0153846153846153
0.023391812865497075, 1.0661538461538462
0.04385964912280704, 1.1123076923076924
0.06725146198830412, 1.1400000000000001
0.10818713450292405, 1.153846153846154
0.14619883040935688, 1.1400000000000001
0.1871345029239767, 1.1400000000000001
0.2134502923976609, 1.1353846153846154
0.2485380116959065, 1.1215384615384616
0.2865497076023392, 1.1123076923076924
0.31871345029239784, 1.0892307692307692
0.36257309941520477, 1.0984615384615384
0.39766081871345027, 1.0846153846153848
0.4356725146198832, 1.0846153846153848
0.4883040935672516, 0.9184615384615386
0.497076023391813, 0.8076923076923077
